type	latitude	longitude	altitude (m)	name
W	22.103278163	-100.913272913	1847.0	P_0
W	22.001344559	-100.960905927	2393.2	P_1
W	22.059488788	-101.145047005	2312.2	P_2
W	22.581308685	-100.997869951	1670.8	P_3
W	22.379333979	-100.849375638	1828.2	P_4
W	22.573625262	-100.955354536	1660.0	P_5
W	22.632221729	-100.934452418	1637.5	P_6
W	22.595337284	-100.923579812	1645.0	P_7
W	22.498560591	-101.002250715	1744.0	P_8
W	22.279339725	-100.932536994	1831.9	P_9
W	22.519336041	-101.127806586	2131.4	P_10
W	22.435384250	-100.849241485	1827.0	P_11
W	22.562723274	-100.959785359	1666.0	P_12
W	22.341249086	-100.962831516	1823.0	P_13
W	22.002761265	-100.817077772	1860.8	P_14
W	22.042600400	-100.976329242	2433.5	P_15
W	22.412326771	-100.826088261	1830.1	P_16
W	22.506062050	-101.034165297	1749.6	P_17
W	22.436392512	-100.962039084	1847.2	P_18
W	22.048348547	-100.931640665	2245.8	P_19
W	22.053289040	-100.957736575	2199.8	P_20
W	21.991548436	-100.850677791	1838.0	P_21
W	22.036512895	-101.049415208	2345.2	P_22
W	22.140987790	-100.987457487	1869.0	P_23
W	22.296809868	-100.984226671	1839.0	P_24
W	22.531150463	-101.059779326	1771.9	P_25
W	22.509105122	-101.024557934	1708.7	P_26
W	22.116490758	-101.127600670	2186.1	P_27
W	22.629083724	-100.932123161	1638.0	P_28
W	22.135263912	-101.019234314	1909.3	P_29
W	22.302214430	-100.893595720	1827.0	P_30
W	22.073403788	-100.900207280	1880.4	P_31
W	22.520671297	-101.062911528	1789.9	P_32
W	22.377471583	-100.884103796	1827.6	P_33
W	22.524531742	-101.082596078	1800.0	P_34
W	22.404931493	-100.881109841	1840.0	P_35
W	22.621411618	-101.029015604	1707.0	P_36
W	22.341585088	-100.892380661	1827.0	P_37
W	22.620636175	-101.004692070	1677.9	P_38
W	22.063859074	-100.919206844	1972.4	P_39
W	22.537225626	-100.947741512	1705.0	P_40
W	22.008490077	-100.853763650	1844.0	P_41
W	22.407095183	-100.928364360	1939.9	P_42
W	22.383405812	-100.948963960	1825.0	P_43
W	22.051238870	-100.931291126	2170.5	P_44
W	22.559598634	-101.105016447	1858.2	P_45
W	22.622586012	-100.917287215	1636.0	P_46
W	22.544015147	-101.116594681	1955.7	P_47
W	22.619644007	-100.932639197	1641.0	P_48
W	22.417673496	-100.915686659	1932.6	P_49
W	22.027486308	-101.018676407	2376.4	P_50
W	22.103876273	-100.944852159	1872.0	P_51
W	21.993094891	-101.008548390	2367.0	P_52
W	22.115764143	-101.028297476	2059.2	P_53
W	22.429820257	-100.861754191	1827.0	P_54
W	22.377355455	-100.913443425	1870.0	P_55
W	22.371703046	-100.958989281	1817.0	P_56
W	22.142339991	-101.040100175	1947.4	P_57
W	22.506941714	-101.076467643	1853.9	P_58
W	22.121159113	-101.066007557	1945.9	P_59
W	22.429190814	-100.945186448	1898.9	P_60
W	22.139381031	-100.993361710	1869.0	P_61
W	22.023752295	-101.122014130	2412.3	P_62
W	22.032729497	-101.006995928	2194.0	P_63
W	22.116213666	-100.974921455	1891.1	P_64
W	22.061039307	-101.002613276	2334.0	P_65
W	22.082413693	-101.052236355	2174.6	P_66
W	22.465459437	-100.942999468	1835.8	P_67
W	22.192187215	-101.027702557	1910.0	P_68
W	22.348385832	-100.927108611	1818.1	P_69
W	22.413805835	-100.849857105	1830.0	P_70
W	22.470336344	-100.975107535	1818.1	P_71
W	22.116169706	-101.088265870	2038.9	P_72
W	22.346161161	-100.982769737	1824.3	P_73
W	22.464711047	-100.954592561	1803.5	P_74
W	22.626177036	-100.907574850	1631.0	P_75
W	22.417129766	-100.832277182	1829.0	P_76
W	22.556649717	-101.071182286	1776.3	P_77
W	22.632845559	-100.962141453	1643.0	P_78
W	22.039889640	-100.828715772	1851.0	P_79
W	22.635761404	-100.967778824	1645.0	P_80
W	22.586279487	-101.023546356	1710.0	P_81
W	22.441367278	-100.971487602	1837.0	P_82
W	22.032942482	-101.069618989	2224.8	P_83
W	22.032753723	-100.862540903	1857.6	P_84
W	22.556337872	-101.035172893	1720.0	P_85
W	22.057979062	-101.120985187	2256.6	P_86
W	22.205606331	-100.986633647	1870.0	P_87
W	22.329203379	-100.865053710	1829.0	P_88
W	21.991566704	-100.842824940	1839.0	P_89
